removed_word,similarity,sentence_index,word_index,punctuation
i,0.98825014,0,0,.
have,0.99336934,0,1,.
a,0.99590063,0,2,.
few,0.9957955,0,3,.
friends,0.96537155,0,4,.
who,0.99506253,0,5,.
are,0.9977042,0,6,.
in,0.9988282,0,7,.
the,0.9996685,0,8,.
midst,0.9970057,0,9,.
of,0.99872243,0,10,.
navigating,0.99176973,0,11,.
very,0.9980237,0,12,.
hazy,0.98019177,0,13,.
idea,0.9547183,0,14,.
spaces,0.97111434,0,15,.
guided,0.996322,0,16,.
by,0.99580085,0,17,.
strong,0.9928144,0,18,.
intuition,0.978357,0,19,.
and,0.98935956,0,20,.
taste,0.9724659,0,21,.
but,0.99692965,0,22,.
early,0.99281764,0,23,.
enough,0.99761665,0,24,.
in,0.9978787,0,25,.
the,0.99852437,0,26,.
process,0.9937993,0,27,.
that,0.9978392,0,28,.
very,0.9974475,0,29,.
little,0.9918317,0,30,.
is,0.9981796,0,31,.
visible,0.9901235,0,32,.
through,0.9972708,0,33,.
the,0.9967507,0,34,.
fog,0.97555506,0,35,.
whenever,0.9804794,1,0,.
im,0.9762319,1,1,.
in,0.99330604,1,2,.
this,0.9723985,1,3,.
situation,0.9786167,1,4,.
i,0.99119043,1,5,.
feel,0.9668602,1,6,.
a,0.99561447,1,7,.
strange,0.96064955,1,8,.
internal,0.93510795,1,9,.
conflict,0.9191365,1,10,.
one,0.996987,2,0,.
side,0.99112225,2,1,.
of,0.9981377,2,2,.
me,0.99767447,2,3,.
feels,0.9939353,2,4,.
conviction,0.9662579,2,5,.
in,0.99392515,2,6,.
a,0.99863833,2,7,.
direction,0.9940079,2,8,.
of,0.9980173,2,9,.
exploration,0.9721434,2,10,.
while,0.99745286,2,11,.
the,0.9990918,2,12,.
other,0.99800575,2,13,.
part,0.9987263,2,14,.
of,0.99920076,2,15,.
me,0.9989426,2,16,.
feels,0.9983298,2,17,.
the,0.99920726,2,18,.
risk,0.9916456,2,19,.
of,0.9971324,2,20,.
potential,0.9985681,2,21,.
dead,0.980105,2,22,.
ends,0.97240615,2,23,.
